codigoOC;FechaEnvioOC;NombreOC;DescripcionOC;EstadoOC;ProcedenciaOC;MonedaOC;MontoNetoOC;DescuentosOC;CargosOC;ImpuestosOC;MontoTotalOC;ImpuestosOC_CLP;MontoNetoOC_CLP;MetodoPago;TipoDespacho;Financiamiento;UnidadCompra;UnidadCompraRUT;RegionUnidadCompra;entCode;Institucion;Sector;Proveedor;ProveedorRUT;ActividadProveedor;TamanoProveedor;RegionProveedor;RubroN1;RubroN2;RubroN3;CodigoProductoONU;ONUProducto;NombreItem;DescripcionItem;CantidadItem;UnidadMedida;MonedaItem;MontoNetoItem;DescuentoItem;CargosItem;ImpuestoEspecificoItem;MontoTotalItem;MontoNetoItemCLP
1177296-323-SE24;07-06-2024 0:00:00;DIP EN COACHING PARA EL LIDERAZGO ORGANIZACIONAL;DIPLOMADO EN COACHING PARA EL LIDERAZGO ORGANIZACIONAL. VIGENCIA: 07-05 AL 10-10-2024. INI24-CAPA-29;Aceptada;Trato Directo;CLP;1029600;0;0;0;1029600;0;1029600;30 dias contra la recepcion conforme de la factura;Otra Forma de Despacho, Ver Instruc;;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA;62.000.890-7;Region Metropolitana de Santiago;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;CAPACITACION USACH COMPANIA LIMITADA;76.421.320-3;ESTABLECIMIENTOS DE ENSENANZA SECUNDARIA DE FORMACION TECNICA Y PROFES;Grande;Región Metropolitana de Santiago;Educación, formación, entrenamiento y capacitación;Sistemas educativos complementarios;Aprendizaje a distancia;86111503;Diplomado a distancia;Diplomado a distancia;Diplomado en Coaching para el Liderazgo Organizacional. Funcionario: Simón Alberto Palacios Ramos;1;Unidad no definida;CLP;1029600;0;0;0;1029600;1029600
1177296-320-SE24;10-06-2024 0:00:00;DIPLOMA DE POSTÍTULO INTERDISCIPLINARIO EN DERECHO;DIPLOMA DE POSTÍTULO INTERDISCIPLINARIO EN DERECHO DE NIÑOS, NIÑAS Y ADOLESCENTES. VIGENCIA: 23-04 AL 08-08-2024. INI24-CAPA-29;Aceptada;Trato Directo;CLP;1920000;0;0;0;1920000;0;1920000;30 dias contra la recepcion conforme de la factura;Otra Forma de Despacho, Ver Instruc;;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA;62.000.890-7;Region Metropolitana de Santiago;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;UNIVERSIDAD DE CHILE;60.910.000-1;VENTA AL POR MENOR DE OTROS PRODUCTOS EN PEQUENOS ALMACENES NO ESPECIA| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.| UNIVERSIDADES| HOSPITALES Y CLINICAS;Grande;Región Metropolitana de Santiago;Educación, formación, entrenamiento y capacitación;Sistemas educativos complementarios;Aprendizaje a distancia;86111503;Diplomado a distancia;Diplomado a distancia;Diploma Interdisciplinario en Derechos de niños, niñas y adolescentes. Funcionario: Roberto Sebastian Diaz Jara;1;Unidad no definida;CLP;960000;0;0;0;960000;960000
1347772-20-SE24;03-06-2024 0:00:00;efd TD Servicio Vigilancia Rio Seco Junio 24;Servicio de Vigilancia Residencia Rio Seco desde el 03-06-24 al 02-07-24;Recepcion Conforme;Trato Directo;CLP;2600000;0;0;494000;3094000;494000;2600000;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;131;ADMINISTRACIÓN DIRECTA REGIÓN DE TARAPACÁ;62.000.890-7;Region de Tarapaca;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;DIAZ Y GUTIERREZ SPA;77.605.781-9;;Micro;Región de Tarapacá  ;Servicios de defensa nacional, orden público y seguridad;Orden público y seguridad;Servicios de seguridad y policiales;92101501;Servicios de vigilancia;Servicios de vigilancia;Servicio vigilancia, desde el 03/05/24 al 02/06/24 acuerdo a oferta de fecha 03-05-24;1;Mes;CLP;2600000;0;0;0;2600000;2600000
1208983-89-SE24;26-06-2024 0:00:00;AUMENTO CONTRATO PARA LA ADQUISICION DE ARTICULOS DE HIGIENE PERSONAL PARA LAS RESIDENCIAS FAMILIARES;AUMENTO CONTRATO PARA LA ADQUISICION DE ARTICULOS DE HIGIENE PERSONAL PARA LAS RESIDENCIAS FAMILIARES;Recepcion Conforme;Trato Directo;CLP;6050420;0;0;1149579,8;7199999,8;1149579,8;6050420;30 dias contra la recepcion conforme de la factura;Despachar según programa adjuntado ;479;ADMINISTRACIÓN DIRECTA REGIÓN DE VALPARAÍSO;62.000.890-7;Region de Valparaiso;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;DELTA GENERACION SPA;76.539.061-3;MANTENCION Y REPARACION DE EQUIPOS A DOMICILIO Y ASESORIA EMPRESARIAL;Mediana;Región Metropolitana de Santiago;Ropa, maletas y productos de aseo personal;Artículos de baño o tocador;Artículos de baño y cuerpo;53131628;Shampoo;Shampoo;;1;Global;CLP;6050420;0;0;0;6050420;6050420
1208100-28-SE24;11-06-2024 0:00:00;PRIMER ENCUENTRO REGIONAL ;Las facturas o boletas deberán ser emitidas a nombre del SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCIA, RUT N° 62.000.890-7. A través de la plataforma del Servicio de Impuestos Internos (SII), deberá indicarse en la referencia (campo 801) el ID de la Orden de Compra (OC). Si utiliza un sistema de facturación electrónico distinto al del SII, deberá asegurarse que el Contratista realice el envío del Documento Tributario Electrónico (DTE) en formato XML, al correo dipresrecepcion@custodium.com;Recepcion Conforme;Trato Directo;CLP;1982500;0;0;376675;2359175;376675;1982500;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;;DIRECCION REGIONAL OHIGGINS;62.000.890-7;Region del Libertador General Bernardo OHiggins;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;FUND SEWELL;65.493.830-k;VENTA AL POR MENOR DE PRODUCTOS DE CONFITERIAS, CIGARRILLOS, Y OTROS| COMERCIO AL POR MENOR DE ARTICULOS TIPICOS (ARTESANIAS)| SERVICIOS DE PRODUCCION DE RECITALES Y OTROS EVENTOS MUSICALES MASIVOS| ACTIVIDADES DE BIBLIOTECAS Y ARCHIVOS| ACTIVIDADES DE MU;Pequeña;Región del Libertador General Bernardo O´Higgins;Servicios de Viajes, alimentación, alojamiento y entretenimiento;Restaurantes y catering;Servicios de comedor y banquetes;90101603;Servicios de catering;Servicios de catering;MANTELERIA, 1ER ENCUENTRO REGIONAL DE PARTICIPACIÓN.   ;20;Unidad no definida;CLP;2000;0;0;0;40000;40000
1209403-58-SE24;19-06-2024 0:00:00;Servicio de Mantención Preventiva y Correctiva ;Servicio de Mantención Preventiva y Correctiva Sistema de Calefacción Dependencias de RFA Coyhaique, ;Recepcion Conforme;Trato Directo;CLP;16806723;0;0;3193277,37;20000000,37;3193277,37;16806723;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;182;ADMINISTRACIÓN DIRECTA REGIÓN DE AYSEN;62.000.890-7;Region Aysen del General Carlos IbaNez del Campo;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;TMS SPA;76.312.698-6;Mantención Maquinaria y Equipos;Pequeña;Región del Biobío ;Servicios de construcción y mantenimiento;Servicios de atención, mantenimiento y reparaciones de edificios;Gasfitería, calefacción y aire acondicionado;72102302;Instalación, reparación o mantenimiento de sistemas de calefacción;Instalación, reparación o mantenimiento de sistema;MANTENCIÓN CORRECTIVA, SEGÚN ITEMIZADO N°3-A;1;Unidad no definida;CLP;14371723;0;0;0;14371723;14371723
1177296-305-SE24;03-06-2024 0:00:00;DIPLOMA DE POSTÍTULO PSICOPATOLOGÍA INFANTO JUVENIL;VIGENCIA: 18-04 AL 19-10-2024 PROGRAMA 02 INI24-CAPA-29;Aceptada;Trato Directo;CLP;2560000;0;0;0;2560000;0;2560000;30 dias contra la recepcion conforme de la factura;Otra Forma de Despacho, Ver Instruc;;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA;62.000.890-7;Region Metropolitana de Santiago;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;UNIVERSIDAD DE CHILE;60.910.000-1;Medicina;Grande;Región Metropolitana de Santiago;Educación, formación, entrenamiento y capacitación;Sistemas educativos complementarios;Aprendizaje a distancia;86111503;Diplomado a distancia;Diplomado a distancia;Diploma de Postítulo Psicopatología Infanto Juvenil. Funcionaria: Nicole Alejandra Oyanadel Adones;1;Unidad no definida;CLP;1280000;0;0;0;1280000;1280000
1177296-305-SE24;03-06-2024 0:00:00;DIPLOMA DE POSTÍTULO PSICOPATOLOGÍA INFANTO JUVENIL;VIGENCIA: 18-04 AL 19-10-2024 PROGRAMA 02 INI24-CAPA-29;Aceptada;Trato Directo;CLP;2560000;0;0;0;2560000;0;2560000;30 dias contra la recepcion conforme de la factura;Otra Forma de Despacho, Ver Instruc;;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA;62.000.890-7;Region Metropolitana de Santiago;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;UNIVERSIDAD DE CHILE;60.910.000-1;Medicina;Grande;Región Metropolitana de Santiago;Educación, formación, entrenamiento y capacitación;Sistemas educativos complementarios;Aprendizaje a distancia;86111503;Diplomado a distancia;Diplomado a distancia;Diploma de Postítulo Psicopatología Infanto Juvenil. Funcionaria: Carol Haydee Miranda Valdivia;1;Unidad no definida;CLP;1280000;0;0;0;1280000;1280000
1177296-312-SE24;04-06-2024 0:00:00;DIPLOMADO EN GESTIÓN Y DESARROLLO DE PERSONAS ;DIPLOMADO EN GESTIÓN Y DESARROLLO DE PERSONAS EN EL ESTADO. VIGENCIA: 12-04 AL 17-08-2024. INI24-CAPA-29;Recepcion Conforme;Trato Directo;CLP;840000;0;0;0;840000;0;840000;30 dias contra la recepcion conforme de la factura;Otra Forma de Despacho, Ver Instruc;;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA;62.000.890-7;Region Metropolitana de Santiago;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;UNIVERSIDAD DE CHILE;60.910.000-1;VENTA AL POR MENOR DE OTROS PRODUCTOS EN PEQUENOS ALMACENES NO ESPECIA| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.| UNIVERSIDADES| HOSPITALES Y CLINICAS;Grande;Región Metropolitana de Santiago;Educación, formación, entrenamiento y capacitación;Sistemas educativos complementarios;Aprendizaje a distancia;86111503;Diplomado a distancia;Diplomado a distancia;Diplomado en gestión y desarrollo de personas en el Estado. Funcionario: Beiby William Mozo Tiburcio;1;Unidad no definida;CLP;840000;0;0;0;840000;840000
1347772-16-SE24;07-05-2024 0:00:00;efd TD Servicio Vigilancia Rio Seco;Servicio de Vigilancia Residencia Rio Seco.;Recepcion Conforme;Trato Directo;CLP;2600000;0;0;494000;3094000;494000;2600000;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;116;ADMINISTRACIÓN DIRECTA REGIÓN DE TARAPACÁ;62.000.890-7;Region de Tarapaca;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;DIAZ Y GUTIERREZ SPA;77.605.781-9;;Micro;Región de Tarapacá  ;Servicios de defensa nacional, orden público y seguridad;Orden público y seguridad;Servicios de seguridad y policiales;92101501;Servicios de vigilancia;Servicios de vigilancia;Servicio vigilancia, de acuerdo a oferta de fecha 03-05-24;1;Mes;CLP;2600000;0;0;0;2600000;2600000
1208092-106-SE24;28-05-2024 0:00:00;COMPRA DE NEUMATICOS E INSTALACION CHEVROLET ;COMPRA DE NEUMATICOS E INSTALACION CHEVROLET CAPTIVA RLGD.38-2;Recepcion Conforme;Trato Directo;CLP;727878;0;0;138296,82;866174,8200000001;138296,82;727878;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;;DIRECCION REGIONAL ANTOFAGASTA;62.000.890-7;Region de Antofagasta;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;SALINAS Y FABRES SOCIEDAD ANONIMA;91.502.000-3;VENTA AL POR MAYOR DE VEHICULOS AUTOMOTORES (IMPORTACION, DISTRIBUCION| MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES| VENTA DE PARTES, PIEZAS Y ACCESORIOS DE VEHICULOS AUTOMOTORES| VENTAS AL POR MENOR DE OTROS PRODUCTOS EN ALMACENES ESPECIALIZADOS ;Grande;Región de Antofagasta ;Vehículos y equipamiento en general;Componentes para vehículos en general;Neumáticos y cámaras de neumáticos;25172504;Neumáticos para camionetas o automóviles;Neumáticos para camionetas o automóviles;MANO DE OBRA ALINEAMIENTO Y BALANCEO ;1;Unidad no definida;CLP;159800;0;0;0;159800;159800
1208100-29-SE24;28-05-2024 0:00:00;SERVICIO DE FLETE MACHALI-RANCAGUA;Las facturas o boletas deberán ser emitidas a nombre del SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCIA, RUT N° 62.000.890-7. A través de la plataforma del Servicio de Impuestos Internos (SII), deberá indicarse en la referencia (campo 801) el ID de la Orden de Compra (OC). Si utiliza un sistema de facturación electrónico distinto al del SII, deberá asegurarse que el Contratista realice el envío del Documento Tributario Electrónico (DTE) en formato XML, al correo dipresrecepcion@custodium.com;Recepcion Conforme;Trato Directo;CLP;60000;0;0;0;60000;0;60000;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;;DIRECCION REGIONAL OHIGGINS;62.000.890-7;Region del Libertador General Bernardo OHiggins;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;RADIO TAXI RANCAGUA FABIAN ESTEBAN MADRID ROMERO E.I.R.L.;77.343.095-0;OTRAS ACTIVIDADES DE TRANSPORTE DE PASAJEROS POR VIA TERRESTRE N.C.P.;Pequeña;Región del Libertador General Bernardo O´Higgins;Servicios de transporte, almacenaje y correo;Transporte de correo y carga;Transporte de carga por carretera;78101801;Servicios de transporte local en camión;Servicios de transporte local en camión;SERVICIO DE FLETE MACHALI-RANCAGUA;1;Unidad no definida;CLP;60000;0;0;0;60000;60000
1177296-295-SE24;30-05-2024 0:00:00;SERVICIO DE “PLATAFORMA Y PRUEBAS DE SELECCIÓN” ;SERVICIO DE “PLATAFORMA Y PRUEBAS DE SELECCIÓN”  Rex 73 A de 30-05-2024 Orden de compra debe estar en estado recepción conforme para proceder con emisión de facturación.;Recepcion Conforme;Trato Directo;CLF;561;0;0;106,59;667,59;3981127,2459034775;20953301,29422883;30 dias contra la recepcion conforme de la factura;A convenir;;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA;62.000.890-7;Region Metropolitana de Santiago;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;EB CONSULTORES LIMITADA.;76.254.213-7;ACTIVIDADES DE CONSULTORIA DE GESTION| ACTIVIDADES DE AGENCIAS DE EMPLEO;Pequeña;Región Metropolitana de Santiago;Tecnologías de la información, telecomunicaciones y radiodifusión;Software;Programas de desarrollo;43232402;Software de entorno de desarrollo;Software de entorno de desarrollo;SERVICIO DE “PLATAFORMA Y PRUEBAS DE SELECCIÓN”;1;Unidad no definida;CLF;561;0;0;0;561;20953301,29422883
1177296-294-SE24;30-05-2024 0:00:00;CONTRATACIÓN DEL SERVICIO DE TRASLADO Y BODEGAJE;CONTRATACIÓN DEL SERVICIO DE TRASLADO Y BODEGAJE Rex N° 74 A del 30-05-2024 Orden de compra debe estar en estado recepción conforme para emisión de facturación;Recepcion Conforme;Trato Directo;CLP;5465000;0;0;1038350;6503350;1038350;5465000;30 dias contra la recepcion conforme de la factura;A convenir;;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA;62.000.890-7;Region Metropolitana de Santiago;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;TRANSPORTES CG S.P.A.;76.911.746-6;TRANSPORTE DE CARGA POR CARRETERA ;Pequeña;Región Metropolitana de Santiago;Servicios de transporte, almacenaje y correo;Almacenaje;Almacenaje de mercancía en general;78131603;Bodegaje de muebles o mobiliario;Bodegaje de muebles o mobiliario;CONTRATACIÓN DEL SERVICIO DE TRASLADO Y BODEGAJE;1;Unidad no definida;CLP;5465000;0;0;0;5465000;5465000
1208100-28-SE24;11-06-2024 0:00:00;PRIMER ENCUENTRO REGIONAL ;Las facturas o boletas deberán ser emitidas a nombre del SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCIA, RUT N° 62.000.890-7. A través de la plataforma del Servicio de Impuestos Internos (SII), deberá indicarse en la referencia (campo 801) el ID de la Orden de Compra (OC). Si utiliza un sistema de facturación electrónico distinto al del SII, deberá asegurarse que el Contratista realice el envío del Documento Tributario Electrónico (DTE) en formato XML, al correo dipresrecepcion@custodium.com;Recepcion Conforme;Trato Directo;CLP;1982500;0;0;376675;2359175;376675;1982500;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;;DIRECCION REGIONAL OHIGGINS;62.000.890-7;Region del Libertador General Bernardo OHiggins;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;FUND SEWELL;65.493.830-k;VENTA AL POR MENOR DE PRODUCTOS DE CONFITERIAS, CIGARRILLOS, Y OTROS| COMERCIO AL POR MENOR DE ARTICULOS TIPICOS (ARTESANIAS)| SERVICIOS DE PRODUCCION DE RECITALES Y OTROS EVENTOS MUSICALES MASIVOS| ACTIVIDADES DE BIBLIOTECAS Y ARCHIVOS| ACTIVIDADES DE MU;Pequeña;Región del Libertador General Bernardo O´Higgins;Servicios de Viajes, alimentación, alojamiento y entretenimiento;Restaurantes y catering;Servicios de comedor y banquetes;90101603;Servicios de catering;Servicios de catering;ALMUERZO 135 PERSONAS,1ER ENCUENTRO REGIONAL DE PARTICIPACIÓN.   ;135;Unidad no definida;CLP;14000;0;0;0;1890000;1890000
1209403-36-SE24;24-04-2024 0:00:00;Suministro de Artículos Tecnológico para NNA Resid;El contratista deberá verificar de forma previa al envió de la factura, lo siguiente:     - Informe de detalle de todos los envíos realizados en el mes al cual se asocia el cobro.  - Todos los pagos se realizarán contra recepción conforme de los trabajos. De acuerdo con lo siguiente:  - Que la orden de compra sea ACEPTADA por el proveedor seleccionado, en el portal www.mercadopublico.cl.  - Que la orden de compra se encuentre en estado de RECEPCIÓN CONFORME, en el portal www.mercadopublico.cl.  - Las facturas o boletas deberán ser emitidas a nombre del Servicio Nacional de Protección Especializada a la Niñez y Adolescencia, RUT N°62.000.890-7, a través de la plataforma del Servicio de Impuestos Internos (SII) deberá indicarse en la referencia (campo 801) el ID de la Orden de Compra (OC). Si utiliza un sistema de facturación electrónico distinto al del SII, deberá asegurarse que este realice el envío del documento tributable electrónico (DTE) en formato XML al correo dipresr;Recepcion Conforme;Trato Directo;CLP;278989;0;0;53007,91;331996,91000000003;53007,91;278989;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;;ADMINISTRACIÓN DIRECTA REGIÓN DE AYSEN;62.000.890-7;Region Aysen del General Carlos IbaNez del Campo;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;COMERCIAL CASA ALICIA S A;96.732.380-2;ALMACENES PEQUENOS (VENTA DE ALIMENTOS)| GRANDES TIENDAS DE PRODUCTOS DE VESTUARIO Y HOGAR| OTROS PRODUCTOS EN PEQUENOS ALMACENES NO ESPECIALIZADOS| VENTA AL POR MENOR DE BEBIDAS Y LICORES (BOTILLERIAS)| VENTA AL POR MENOR DE PRODUCTOS DE CONFITERIAS, CIG;Grande;Región Aysén del General Carlos Ibáñez del Campo;Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos;Equipos de arte y manualidades, accesorios y suministros;Suministros y accesorios de escultura;60124506;Utensilios de plástico de arena o agua, moldes o juguetes;Utensilios de plástico de arena o agua, moldes o j;GiftCard, Suministro de Artículos Tecnológicos (Regalos) para NNA. ;1;Unidad;CLP;278989;0;0;0;278989;278989
1208983-64-SE24;23-04-2024 0:00:00;Adquisición Entradas Parque Diversiones NNA Residencias Familiares;Adquisición Entradas Parque Diversiones NNA Residencias Familiares.;Recepcion Conforme;Trato Directo;CLP;1673646;15,75;0;317989,7475;1991619,9975;317989,7475;1673646;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;312;ADMINISTRACIÓN DIRECTA REGIÓN DE VALPARAÍSO;62.000.890-7;Region de Valparaiso;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;SOC COMERCIAL ITAHUE LTDA;84.988.100-0;VENTA AL POR MENOR DE PRODUCTOS DE CONFITERIAS, CIGARRILLOS, Y OTROS| COMERCIO POR MENOR DE JUGUETES| RESTAURANTES| ESTABLECIMIENTOS DE COMIDA RAPIDA (BARES, FUENTES DE SODA, GELATERIAS,| OTRAS ACTIVIDADES EMPRESARIALES N.C.P.| ACTIVIDADES DE PARQUES DE A;Grande;Región Metropolitana de Santiago;Muebles y mobiliario;Muebles de alojamiento;Muebles;56101505;Centros de diversión;Centros de diversión;Entrada parque + Combo pizza-bebida;78;Unidad no definida;CLP;18227;0;0;0;1421706;1421706
1208097-15-SE24;18-04-2024 0:00:00;Servicio de sala cuna hija Maria Elena Guajardo ;CONTRATACIÓN A TRAVES DE TRATO DIRECTO DE LA PRESTACIÓN DEL SERVICIO DE SALA CUNA CON VTM ADMINISTRACIÓN Y SERVICIOS SPA, R.U.T. N° 76.255.817-3, DE CONFORMIDAD CON LO DISPUESTO EN EL ARTÍCULO 8º, LETRA G), DE LA LEY 19.886 Y EL ARTÍCULO 10º, Nº7, LETRA F) DEL D.S Nº 250, DE 2004, DEL MINISTERIO DE HACIENDA Y APRUEBA CONTRATO. Fecha de inicio de los servicios: 17 de abril de 2024.;Recepcion Conforme;Trato Directo;CLP;2538667;0;0;0;2538667;0;2538667;30 dias contra la recepcion conforme de la factura;Otra Forma de Despacho, Ver Instruc;;DIRECCION REGIONAL VALPARAISO;62.000.890-7;Region de Valparaiso;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;VITAMINA INMOBILIARIA SPA;76.255.817-3;COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES;Pequeña;Región Metropolitana de Santiago;Servicios de cuidado personal y domésticos;Servicio doméstico y de cuidados;Cuidado de niños, personas enfermas y ancianos;91111901;Jardines infantiles o salas cunas;Jardines infantiles o salas cunas;Servicio de sala cuna hija Maria Elena Guajardo ;1;Unidad no definida;CLP;2538667;0;0;0;2538667;2538667
1209004-67-SE24;18-04-2024 0:00:00;P02: Contratación servicio terapéutico para adolescente L.A.P.R.;P02: Contratación servicio terapéutico para adolescente L.A.P.R.  Para facturar deben estar recepcionados los productos y aceptada la orden de compra. Se solicita facturar en formato XML a la casilla: dipresrecepcion@custodium.com e indicar el número de orden de compra en el campo de referencia 801 y señalar en factura datos para la transferencia bancaria. Recordar que hay un plazo máximo de 24 hrs para aceptar la orden de compra en el portal www.mercadopublico.cl DATOS DE FACTURACION: SERVICIO NACIONAL DE PROTECCION ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCIA, RUT 62.000.890-7 Dirección: 1 NORTE 541, Edificio Los Leones, Talca. Copia factura: cmoyano@servicioproteccion.gob.cl  ;Recepcion Conforme;Trato Directo;CLP;4200000;0;0;0;4200000;0;4200000;30 dias contra la recepcion conforme de la factura;Otra Forma de Despacho, Ver Instruc;;ADMINISTRACIÓN DIRECTA REGIÓN DEL MAULE;62.000.890-7;Region del Maule;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;COMUNIDAD TERAPEUTICA RENOVACION LIMITADA;76.622.553-5;comunidad terapeutica;Pequeña;Región Metropolitana de Santiago;Servicios de cuidado personal y domésticos;Servicio doméstico y de cuidados;Cuidado de niños, personas enfermas y ancianos;91111904;Servicios de asistencia puertas adentro;Servicios de asistencia puertas adentro;SERVICIO DE INTERNACION EN CENTRO TERAPEUTICO RENOVACION, POR 3 MESES, DESDE ACTA DE INGRESO. VALOR MENSUAL $1.400.000.;1;Global;CLP;4200000;0;0;0;4200000;4200000
1177296-210-SE24;16-04-2024 0:00:00;SERVICIO DE CAPACITACIÓN EN AMBIT MULTI TEAM;SERVICIO DE CAPACITACIÓN EN AMBIT MULTI TEAM  PARA FUNCIONARIOS DEL SERVICIO DE PROTECCIÓN  ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCIA;Recepcion Conforme;Trato Directo;EUR;17400;0;0;0;17400;0;17927069,657759234;30 dias contra la recepcion conforme de la factura;Despachar a Dirección de envío;469;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA;62.000.890-7;Region Metropolitana de Santiago;1765960;SERVICIO NACIONAL DE PROTECCIÓN ESPECIALIZADA A LA NIÑEZ Y ADOLESCENCI;OTROS;UNIVERSIDAD DIEGO PORTALES;70.990.700-k;UNIVERSIDADES;Grande;Región Metropolitana de Santiago;Servicios profesionales, administrativos y consultorías de gestión empresarial;Servicios de recursos humanos;Consultorías para el desarrollo de recursos humanos;80111504;Formación, capacitación y entrenamiento de personal;Formación, capacitación y entrenamiento de persona;;1;Unidad no definida;EUR;17400;0;0;0;17400;17927069,657759234
